Unnamed: 0,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Admission Grade Category,Previous Qualification Category,1st_sem_grade_cat,2nd_sem_grade_cat
0,Single,17,5,171,1,1,122.0,Portuguese,19,12,5,9,127.3,1,,0,1,Male,No Scholarship,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,High,Middle,Low,Low
1,Single,15,1,9254,1,1,160.0,Portuguese,1,3,3,3,142.5,1,,0,0,Male,No Scholarship,19,0,0,6,6,6,14.0,0,0,6,6,6,13.66666667,0,13.9,-0.3,0.79,Graduate,High,High,Medium,Medium
2,Single,1,5,9070,1,1,122.0,Portuguese,37,37,9,9,124.8,1,,0,0,Male,No Scholarship,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout,Middle,Middle,Low,Low
3,Single,17,2,9773,1,1,122.0,Portuguese,38,37,5,3,119.6,1,,0,1,Female,No Scholarship,20,0,0,6,8,6,13.42857143,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate,Middle,Middle,Medium,Medium
4,Married,39,1,8014,0,1,100.0,Portuguese,37,38,9,9,141.5,0,,0,1,Female,No Scholarship,45,0,0,6,9,5,12.33333333,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate,High,Middle,Medium,Medium
5,Married,39,1,9991,0,19,133.1,Portuguese,37,37,9,7,114.8,0,,1,1,Male,No Scholarship,50,0,0,5,10,5,11.85714286,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate,Middle,High,Medium,Medium
6,Single,1,1,9500,1,1,142.0,Portuguese,19,38,7,10,128.4,1,,0,1,Female,Scholarship,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate,High,High,Medium,Medium
7,Single,18,4,9254,1,1,119.0,Portuguese,37,37,9,9,113.1,1,,0,0,Male,No Scholarship,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout,Middle,Middle,Low,Low
8,Single,1,3,9238,1,1,137.0,Romanian,1,1,9,9,129.3,0,,0,1,Female,Scholarship,21,1,0,6,8,6,13.875,0,0,6,7,6,14.14285714,0,16.2,0.3,-0.92,Graduate,High,High,Medium,Medium
9,Single,1,1,9238,1,1,138.0,Portuguese,1,19,4,7,123.0,1,,1,0,Female,No Scholarship,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout,Middle,High,Medium,Medium
10,Single,1,1,9670,1,1,139.0,Portuguese,38,19,5,7,130.6,1,,0,1,Female,No Scholarship,18,0,0,6,6,6,12.33333333,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate,High,High,Medium,Medium
